eid,sza_med,Dn_1d,Dn_radial,dDn,EB_1d,EB_radial
2018-09-11_thd,0.29515903677574024,0.3794,0.7339,0.3545,3.6038,2.0529
2018-09-10_the,0.5477835498013215,0.1705,1.066,0.8955000000000001,4.0295,1.6354
2018-09-14_thd,13.339672101664192,0.4355,3.4646,3.0290999999999997,8.5933,7.1629
2018-09-13_tha,1.3468663283736042,0.1126,1.0453,0.9326999999999999,2.7346,1.235
2018-09-10_thd,1.3006137704768626,0.3605,0.6962,0.33570000000000005,3.283,1.875
2018-09-13_the,0.560323816198601,0.5305,1.1339,0.6033999999999999,3.7045,1.0984
2018-09-14_tha,1.824470517649698,0.216,1.1037,0.8876999999999999,4.382,1.4145
2018-09-16_the,1.681992807016562,0.5546,4.3315,3.7769000000000004,12.1058,3.468
2018-09-17_tha,2.4230552447908535,2.31,2.2599,-0.05010000000000003,0.7702,0.6172
2018-09-21_tha,5.41015317578079,2.3404,2.4329,0.09250000000000025,7.2051,6.967
2018-09-21_thd,10.59360481527491,0.9147,0.9688,0.05410000000000004,2.345,2.1624
2018-09-17_the,4.293460994348956,0.1384,3.2932,3.1548000000000003,9.3417,4.6378
2018-09-17_thd,3.585729654327411,0.3256,0.7243,0.39870000000000005,4.0297,2.3886
2018-09-23_tha,6.467406604358873,1.4351,1.1729,-0.2622,14.7222,15.3727
2018-09-23_thd,5.523009676493357,3.3764,4.4461,1.0697000000000005,6.9365,5.9531
2018-09-23_the,4.057045960720378,0.1434,1.492,1.3486,2.7979,1.3048
2018-09-24_the,4.887094357447848,0.0508,0.0566,0.0058,4.1384,3.629
2018-09-22_thd,4.266573393401273,0.121,1.5839,1.4629,2.3118,1.3685
2018-09-18_thd,2.721411147731559,0.1442,0.8502,0.706,4.6172,2.4993
2018-09-21_the,3.979702117805184,5.2142,7.5972,2.383,5.776,4.3852
2018-09-18_tha,3.0252155290740688,1.2505,1.3456,0.09509999999999996,2.3627,1.9267
2018-09-24_thd,6.954408428888952,0.2347,0.0719,-0.1628,26.0519,20.2141
2018-09-25_thd,5.54810142059328,0.0494,0.0513,0.001899999999999999,24.9176,25.0666
2018-09-26_tha,7.259804891428878,0.8823,0.8688,-0.013499999999999956,1.6937,1.6578
2018-09-26_thd,6.367287922332009,4.3233,4.6182,0.29490000000000016,7.3891,6.6879
2018-09-28_the,6.307627642546491,3.7837,4.2641,0.48039999999999994,3.8994,3.7545
2018-09-26_the,6.202144807724321,0.7858,1.1326,0.3468,2.0112,1.2945
2018-09-29_thd,7.211264128471827,8.7707,8.5871,-0.1836000000000002,5.3673,5.5735
2018-09-27_tha,8.107332534512386,0.998,1.1144,0.11640000000000006,1.8136,1.9255
2018-09-29_the,7.038329353524347,6.4014,6.439,0.0376000000000003,4.986,4.9445
2018-09-27_thd,7.013098576826637,6.5685,6.6527,0.08420000000000005,3.9812,3.9281
2018-09-25_the,5.862648577364738,7.6787,6.7236,-0.9550999999999998,1.2137,1.0495
2018-10-03_the,8.512292715709593,0.417,0.6468,0.22980000000000006,3.7092,2.8419
2018-09-27_the,8.953062255162612,1.1606,1.1709,0.010299999999999976,1.2774,1.2962
2018-09-22_tha,5.819955262700879,1.2578,1.5905,0.3327,1.9734,2.8315
2018-09-30_thd,8.259608643323707,2.0244,2.9831,0.9586999999999999,5.8387,3.985
2018-09-30_the,7.967010754275855,0.0314,0.2053,0.1739,4.3681,6.7978
2018-10-01_the,8.378103899780992,5.965,6.0723,0.1073000000000004,2.4223,2.4796
2018-10-04_the,9.176627731683475,0.1139,0.1185,0.004599999999999993,2.3381,2.3501
2018-09-30_tha,9.982282930975678,1.4541,1.4622,0.008099999999999996,1.0921,1.0707
2018-10-01_thd,10.784248880430313,0.111,5.2154,5.1044,14.2041,6.402
2018-10-06_the,10.472577740944033,1.532,1.5344,0.0023999999999999577,0.9534,0.958
2018-10-15_tha,16.76841740281285,2.7243,2.2967,-0.4276,2.9907,2.9228
2018-10-17_the,15.475365154333426,1.1663,1.093,-0.07329999999999992,1.9542,2.2616
2018-10-21_tha,19.53389560385602,2.1753,1.7817,-0.39359999999999995,1.8838,2.3167
2018-10-23_tha,20.49680203404792,5.4723,1.3823,-4.09,11.4839,3.0419
2018-10-25_thd,17.648072552432218,1.7621,1.9155,0.15339999999999998,2.6011,1.3167
2018-10-16_tha,16.764537328068045,2.8318,2.2512,-0.5806,3.0863,2.758
2018-10-25_tha,20.260871456924033,0.1631,1.1979,1.0348,4.9238,1.0662
2018-10-24_tha,19.963936060930248,0.8524,0.7938,-0.058600000000000096,2.2673,1.8443
