eid,probe,bz,bz_sign,clock,cone,sza,dp,ma,bx,Dn_mem,EB_mem,n_near,beta_near,T_near,n_mem,cls
2010-10-23_thd,thd,1.38,1,302.1,57.3,12.0,3.71,9.3,3.94,1.303,1.271,19.86,4.2362,582.0,722,AMBIGUOUS
2010-10-23_the,the,2.26,1,318.1,53.4,11.6,3.55,9.3,4.31,1.3188,1.2687,20.7,4.7984,600.0,746,AMBIGUOUS
2011-11-22_tha,tha,3.07,1,338.9,84.6,26.5,3.33,10.9,-0.56,0.7345,1.4498,44.6,1.8143,140.1,832,CONFIRMED_PDL
2011-11-22_thd,thd,3.05,1,339.0,84.8,21.2,3.32,10.9,-0.54,0.8657,1.0402,54.46,3.3507,146.3,829,AMBIGUOUS
2011-11-22_the,the,-2.02,0,194.2,89.0,22.0,3.15,10.6,0.1,0.8869,0.9985,56.99,4.2803,157.2,839,AMBIGUOUS
2011-12-18_the,the,3.29,1,46.4,71.4,23.4,3.13,9.1,-2.17,0.5259,1.9984,52.97,0.7795,101.8,850,CONFIRMED_PDL
2012-12-30_tha,tha,1.88,1,283.3,65.3,19.6,3.24,6.3,4.11,0.1953,2.0534,9.62,0.154,184.7,609,AMBIGUOUS
2013-01-19_tha,tha,-0.04,0,91.2,64.3,13.0,3.51,14.7,-1.79,1.1612,1.8986,36.16,4.665,271.6,533,AMBIGUOUS
2013-01-26_tha,tha,-0.27,0,268.2,55.1,10.2,3.3,5.5,6.72,1.157,1.3261,31.43,1.8898,331.1,784,AMBIGUOUS
2013-01-26_thd,thd,1.56,1,301.8,71.2,10.2,4.59,7.9,3.13,0.7332,1.4678,45.27,1.2551,241.2,616,CONFIRMED_PDL
2013-01-26_the,the,0.0,0,270.0,64.0,11.1,4.22,7.1,4.58,0.8029,1.5677,43.94,2.2746,342.0,521,AMBIGUOUS
2014-02-16_tha,tha,7.42,1,46.8,81.6,1.3,9.5,7.9,1.99,1.8346,1.288,119.79,1.6066,224.4,463,AMBIGUOUS
2014-02-19_the,the,2.87,1,292.7,63.6,5.7,5.01,6.1,-5.56,3.273,0.7069,84.38,4.8089,350.7,473,AMBIGUOUS
2014-02-27_the,the,-7.53,0,213.1,52.2,3.4,5.77,6.1,8.43,1.8828,0.9613,126.36,7.6092,326.4,373,AMBIGUOUS
2014-02-28_tha,tha,3.78,1,295.7,60.6,1.2,3.32,6.1,5.33,0.2113,2.0747,6.33,0.135,366.4,502,AMBIGUOUS
2014-03-25_thd,thd,-1.21,0,213.7,68.0,0.8,4.57,9.5,1.69,1.9101,1.2556,35.99,2.8057,321.2,628,AMBIGUOUS
2014-03-26_the,the,4.37,1,26.4,88.9,3.3,3.4,11.2,0.11,0.2844,2.8829,11.18,0.2905,389.6,127,AMBIGUOUS
2015-03-16_tha,tha,8.45,1,352.5,53.6,22.8,7.8,7.8,-7.21,1.0426,1.8695,74.13,1.1111,167.7,590,AMBIGUOUS
2015-03-17_tha,tha,-15.23,0,151.6,66.2,22.0,10.96,4.9,-9.37,3.2655,1.6346,95.71,1.1444,383.2,601,AMBIGUOUS
2015-03-17_the,the,-15.44,0,158.2,71.1,21.8,5.8,4.5,-6.68,0.9643,1.3969,36.62,0.4275,370.0,323,AMBIGUOUS
2015-04-14_the,the,-3.91,0,188.3,47.4,1.0,8.61,10.0,7.09,9.5887,3.081,358.37,11.5376,122.9,38,AMBIGUOUS
