eid,probe,stage,bz,cls
2008-08-20_thd,thd,no_bg,0.29,
2008-08-20_the,the,no_bg,0.47,
2008-08-21_tha,tha,no_sheath,-0.95,
2008-08-21_thc,thc,no_sheath,-0.13,
2008-08-21_thd,thd,no_sheath,-0.18,
2008-08-21_the,the,no_sheath,-0.23,
2008-08-22_tha,tha,no_sheath,-1.06,
2008-08-22_thc,thc,no_shell,-0.7,
2008-08-22_thd,thd,no_bg,-0.5,
2008-08-22_the,the,no_bg,-0.53,
2008-08-23_tha,tha,no_sheath,0.53,
2008-08-23_thb,thb,no_sheath,-0.34,
2008-08-23_thc,thc,no_sheath,-0.15,
2008-08-23_thd,thd,no_bg,-0.16,
2008-08-23_the,the,no_bg,-0.34,
2008-08-24_tha,tha,no_bg,-0.43,
2008-08-24_thb,thb,no_sheath,-0.55,
2008-08-24_thc,thc,no_shell,-0.55,
2008-08-24_thd,thd,no_bg,0.39,
2008-08-24_the,the,no_bg,0.39,
2008-08-25_tha,tha,no_sheath,0.2,
2008-08-25_thc,thc,no_sheath,0.58,
2008-08-25_thd,thd,no_bg,0.58,
2008-08-25_the,the,no_bg,0.35,
2008-08-26_tha,tha,no_bg,-0.63,
2008-08-26_thc,thc,contrib,0.21,AMBIGUOUS
2008-08-26_thd,thd,no_bg,-0.87,
2008-08-26_the,the,no_bg,-0.5,
2008-08-27_tha,tha,no_sheath,0.64,
2008-08-27_thb,thb,no_sheath,1.25,
2008-08-27_thc,thc,no_sheath,0.64,
2008-08-27_thd,thd,no_bg,0.66,
2008-08-27_the,the,no_bg,0.48,
2008-08-28_tha,tha,no_sheath,-0.18,
2008-08-28_thb,thb,contrib,0.63,CONFIRMED_PDL
2008-08-28_thc,thc,contrib,0.63,CONFIRMED_PDL
2008-08-28_thd,thd,no_bg,-0.52,
2008-08-28_the,the,no_bg,-0.81,
2008-08-29_tha,tha,no_bg,5.3,
2008-08-29_thc,thc,no_shell,3.49,
2008-08-29_thd,thd,no_bg,3.69,
2008-08-29_the,the,no_bg,2.66,
2008-08-30_tha,tha,no_sheath,0.29,
2008-08-30_thc,thc,contrib,0.53,AMBIGUOUS
2008-08-30_thd,thd,no_bg,0.99,
2008-08-30_the,the,no_bg,1.16,
2008-08-31_tha,tha,no_bg,1.48,
2008-08-31_thb,thb,no_sheath,-1.06,
2008-08-31_thc,thc,no_shell,0.12,
2008-08-31_thd,thd,no_bg,-0.23,
2008-08-31_the,the,no_bg,0.19,
2008-09-01_tha,tha,no_bg,1.17,
2008-09-01_thb,thb,contrib,-0.5,AMBIGUOUS
2008-09-01_thc,thc,no_bg,-0.5,
2008-09-01_thd,thd,no_bg,-1.64,
2008-09-01_the,the,no_bg,1.22,
2008-09-02_tha,tha,no_sheath,-0.19,
2008-09-02_thc,thc,no_shell,1.47,
2008-09-02_thd,thd,no_bg,1.61,
2008-09-02_the,the,no_bg,1.35,
2008-09-03_tha,tha,no_bg,0.36,
2008-09-03_thc,thc,contrib,0.15,AMBIGUOUS
2008-09-03_thd,thd,no_shell,5.87,
2008-09-03_the,the,no_shell,2.67,
2008-09-04_tha,tha,no_bg,-0.06,
2008-09-04_thb,thb,no_sheath,-0.12,
2008-09-04_thc,thc,no_shell,-0.25,
2008-09-04_thd,thd,no_bg,-0.12,
2008-09-04_the,the,no_bg,-0.29,
2008-09-05_tha,tha,no_sheath,0.26,
2008-09-05_thb,thb,contrib,-0.27,BOUNDARY_LAYER
2008-09-05_thc,thc,contrib,-0.27,BOUNDARY_LAYER
2008-09-05_thd,thd,no_bg,0.11,
2008-09-05_the,the,no_bg,-0.31,
2008-09-06_tha,tha,no_bg,1.72,
2008-09-06_thc,thc,contrib,1.27,AMBIGUOUS
2008-09-06_thd,thd,no_bg,0.97,
2008-09-06_the,the,no_bg,1.08,
2008-09-07_tha,tha,no_bg,1.88,
2008-09-07_thc,thc,contrib,1.23,CONFIRMED_PDL
2008-09-07_thd,thd,no_bg,1.68,
2008-09-07_the,the,no_bg,2.18,
2008-09-08_tha,tha,no_bg,-1.01,
2008-09-08_thb,thb,no_shell,-0.84,
2008-09-08_thc,thc,contrib,-0.43,BOUNDARY_LAYER
2008-09-08_thd,thd,no_bg,-0.93,
2008-09-08_the,the,no_bg,-0.25,
2008-09-09_tha,tha,no_sheath,0.11,
2008-09-09_thb,thb,contrib,0.4,BOUNDARY_LAYER
2008-09-09_thc,thc,contrib,0.4,BOUNDARY_LAYER
2008-09-09_thd,thd,no_bg,1.2,
2008-09-09_the,the,no_bg,0.18,
2008-09-10_tha,tha,no_bg,1.33,
2008-09-10_thc,thc,contrib,0.3,AMBIGUOUS
2008-09-10_thd,thd,no_sheath,0.11,
2008-09-10_the,the,no_sheath,0.31,
2008-09-11_tha,tha,no_sheath,-1.23,
2008-09-11_thc,thc,no_bg,0.46,
2008-09-11_thd,thd,no_bg,-1.35,
2008-09-11_the,the,no_sheath,-1.41,
2008-09-12_tha,tha,no_sheath,0.75,
2008-09-12_thb,thb,contrib,0.84,CONFIRMED_PDL
2008-09-12_thc,thc,no_bg,0.91,
2008-09-12_thd,thd,no_sheath,0.86,
2008-09-12_the,the,no_sheath,0.98,
2008-09-13_tha,tha,no_bg,0.4,
2008-09-13_thb,thb,no_shell,1.08,
2008-09-13_thc,thc,no_bg,1.08,
2008-09-13_thd,thd,no_bg,0.73,
2008-09-13_the,the,no_bg,1.26,
2008-09-14_tha,tha,no_bg,-1.59,
2008-09-14_thc,thc,contrib,-0.93,AMBIGUOUS
2008-09-14_thd,thd,no_shell,-2.17,
2008-09-14_the,the,contrib,-0.62,AMBIGUOUS
2008-09-15_tha,tha,no_bg,-1.22,
2008-09-15_thc,thc,contrib,-0.39,AMBIGUOUS
