eid,grp,north,n_sw,v_sw,ratio_bg,ratio_near,ratio_v
2007-08-25_tha,NONCAND,False,14.335000038146973,349.5500030517578,1.150343246246159,4.459016381576702,0.7739246395239345
2007-08-25_thb,NONCAND,False,17.140000343322754,348.5,3.849611238623164,3.7742122931287656,0.22359907678415306
2007-08-25_thc,NONCAND,False,16.559999465942383,347.8999938964844,4.461092793320225,3.414855182592356,0.24913931919396048
2007-08-25_thd,NONCAND,False,16.34000015258789,347.79998779296875,4.309648826070117,3.152386751467806,0.24902395077175782
2007-08-25_the,NONCAND,False,16.190000534057617,347.8999938964844,4.382976271947615,3.1334155853351167,0.26100251254672485
2007-08-26_thb,NONCAND,True,11.960000038146973,462.8999938964844,2.996622031359778,0.7608695627905626,0.3550935842741052
2007-08-26_thc,NONCAND,True,9.819999694824219,475.65000915527344,2.987608254663293,0.7759674375566669,0.35308160325808263
2007-08-26_thd,NONCAND,True,9.819999694824219,475.65000915527344,2.6854949045432193,0.7922607170854158,0.34176998549252174
2007-08-26_the,BORD,True,9.819999694824219,475.65000915527344,2.823022514483808,1.667006161785123,0.3428646147164658
2007-08-27_thb,NONCAND,True,11.980000019073486,473.79998779296875,3.3544685233941363,1.0492487462426685,0.3404780677284139
2007-08-27_thc,NONCAND,True,6.444999933242798,496.3999938964844,6.411909550093964,2.470131910767897,0.31575442325065695
2007-08-27_thd,A,True,6.199999809265137,502.6000061035156,5.784025062561806,2.4322581393413585,0.3004946749984228
2007-08-27_the,A,True,5.940000057220459,511.5,4.889508242017814,2.3265993041870234,0.29170811747292735
2007-08-30_tha,NONCAND,True,4.679999828338623,404.29998779296875,2.7043231505162018,0.26068377024558437,0.21329934657809851
2007-09-04_thc,NONCAND,False,2.0999999046325684,534.0999755859375,3.1961760382959294,6.404762195621771,0.2911447080654403
2007-09-04_thd,NONCAND,False,2.0999999046325684,534.0999755859375,2.714318898260884,5.514285964706328,0.3072612297950311
2008-06-14_thc,NONCAND,True,27.1299991607666,350.3999938964844,2.486199562385453,5.880206595461326,0.5022533713258608
2008-06-28_thb,NONCAND,True,1.7699999809265137,591.2999877929688,4.23901449342517,4.468926601829384,0.3483407427791837
2008-07-10_thc,NONCAND,True,8.970000267028809,332.20001220703125,3.4561381592300093,4.802675442312965,0.2596704064937582
2008-07-12_thc,NONCAND,False,4.440000057220459,559.5999755859375,4.963504452359512,4.957207143321246,0.007665440550926292
2008-07-14_thc,NONCAND,False,1.409999966621399,671.5999755859375,2.261794935160713,5.6737589995618,0.5870940630312517
2008-07-16_thc,NONCAND,True,2.200000047683716,566.2999877929688,4.182345776507079,0.3636363557547579,0.277866717775393
2008-07-18_thc,NONCAND,False,2.309999942779541,428.79998779296875,5.054676709559305,1.7705628144209595,0.23787135296071046
2008-07-20_thc,NONCAND,True,5.659999847412109,306.6000061035156,4.35114659962864,5.1961132142869175,0.24459635576726974
2008-07-24_thc,NONCAND,False,1.190000057220459,566.3999938964844,4.35326499201999,5.403361084720335,0.39249151189439324
2008-08-18_thd,NONCAND,False,4.440000057220459,614.9499816894531,4.346035136669153,3.993243191780359,0.3024405105713301
2008-08-18_the,NONCAND,False,5.170000076293945,611.6000061035156,3.0941046879824863,2.7098645634920193,0.40282414335597255
2008-08-26_thc,NONCAND,True,6.890000104904175,292.3999938964844,1.5097015771094637,5.211901226886764,0.7534676955669042
2008-08-28_thb,A,True,8.809999942779541,307.4499969482422,4.506398900319329,3.20431330117506,0.25951244930094197
2008-08-28_thc,A,True,8.809999942779541,307.4499969482422,4.924753851082509,2.3450624442889385,0.2624586438174756
2008-08-30_thc,NONCAND,True,6.349999904632568,339.8999938964844,4.485560957624195,4.110236282201996,0.27265482418813053
2008-09-03_thc,NONCAND,True,7.800000190734863,306.20001220703125,4.374517431637753,4.874358855165363,0.21877077402820652
2008-09-05_thb,NONCAND,False,2.190000057220459,556.6499938964844,3.7283589421008663,0.4840182521937231,0.22642520490472007
2008-09-05_thc,NONCAND,False,2.190000057220459,556.6499938964844,4.1465246519361,0.7671232676277874,0.2336838546631918
2008-09-06_thc,NONCAND,True,3.9100000858306885,569.6499938964844,3.4871612817504483,3.7672633444125814,0.29015338397970974
2008-09-07_thc,A,True,3.5999999046325684,600.0999755859375,3.885189397737434,3.3500000887446957,0.2694459810875426
2008-09-08_thc,NONCAND,False,2.9200000762939453,542.5,3.3422367973265765,0.5753424507208406,0.3135277532762097
2008-09-09_thb,NONCAND,True,2.75,541.2999877929688,3.6758318814364346,0.7236363636363636,0.24196487879396422
2008-09-09_thc,NONCAND,True,2.75,541.2999877929688,3.1653431979092685,0.8654545454545454,0.3482410503098608
2008-09-10_thc,NONCAND,True,2.059999942779541,436.0500030517578,5.25665621868586,1.2961165408564967,0.1834578315904907
2008-09-12_thb,REJ,True,2.809999942779541,329.0,3.657911246179151,2.5444840375788416,0.22265601810350968
2008-09-14_thc,NONCAND,False,28.8100004196167,360.70001220703125,2.766759899005196,1.6251301394678326,0.24715205943304483
2008-09-14_the,NONCAND,False,24.989999771118164,364.29998779296875,2.8594300836127,0.7887154934182733,0.3140840470716276
2008-09-15_thc,NONCAND,False,23.280000686645508,371.20001220703125,3.119771413121624,2.246993060872522,0.2687009464066293
2008-09-16_thc,NONCAND,False,2.059999942779541,499.79998779296875,4.379487853730429,0.5631068117578787,0.15686102704902827
